Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cl_R2
4421,0.25,500000,41,0.01853,0.00049996,0.02236,0.998223
4421,0.25,1000000,41,0.018536,0.00052182,0.022843,0.99799
4421,0.25,2000000,41,0.019467,0.00060391,0.024575,0.997596
4421,0.25,4000000,41,0.01978,0.00063883,0.025275,0.997469
4421,0.25,8000000,41,0.014735,0.00038471,0.019614,0.998489
4421,0.35,75000,41,0.028023,0.00186665,0.043205,0.993323
4421,0.35,125000,41,0.038625,0.00233254,0.048296,0.993009
4421,0.35,250000,41,0.024904,0.0009843,0.031373,0.996829
4421,0.35,500000,41,0.021565,0.00067252,0.025933,0.997401
4421,0.35,1000000,41,0.020054,0.00060531,0.024603,0.997428
4421,0.35,2000000,41,0.018975,0.00054255,0.023293,0.9976
4421,0.35,4000000,41,0.016264,0.00042804,0.020689,0.998113
4421,0.35,8000000,41,0.011488,0.00024557,0.015671,0.998927
4421,0.45,75000,41,0.021378,0.00097946,0.031296,0.995692
4421,0.45,125000,41,0.040925,0.00235092,0.048486,0.991638
4421,0.45,250000,41,0.025699,0.00100355,0.031679,0.996369
4421,0.45,500000,41,0.020392,0.00065672,0.025626,0.99713
4421,0.45,1000000,41,0.020112,0.00062643,0.025029,0.996956
4421,0.45,2000000,41,0.018024,0.00048744,0.022078,0.997512
4421,0.45,4000000,41,0.014956,0.0003225,0.017958,0.998355
4421,0.45,8000000,41,0.012369,0.00025106,0.015845,0.998731
4421,0.55,75000,41,0.012478,0.00021869,0.014788,0.998628
4421,0.55,125000,41,0.037015,0.00193486,0.043987,0.990356
4421,0.55,250000,41,0.028612,0.00119138,0.034516,0.994395
4421,0.55,500000,41,0.022666,0.00076114,0.027589,0.995843
4421,0.55,1000000,41,0.022096,0.00068576,0.026187,0.995863
4421,0.55,2000000,41,0.019355,0.00053594,0.02315,0.996613
4421,0.55,4000000,41,0.018953,0.00048835,0.022099,0.996911
4421,0.55,8000000,41,0.015601,0.00033102,0.018194,0.997922
4421,0.65,75000,41,0.015702,0.00054729,0.023394,0.994205
4421,0.65,125000,41,0.018742,0.00054372,0.023318,0.994548
4421,0.65,250000,41,0.019652,0.00113622,0.033708,0.98997
4421,0.65,500000,41,0.018878,0.00074192,0.027238,0.993415
4421,0.65,1000000,41,0.018188,0.00053778,0.02319,0.99504
4421,0.65,2000000,41,0.016994,0.00044968,0.021206,0.995821
4421,0.65,4000000,41,0.016032,0.00040906,0.020225,0.996212
4421,0.65,8000000,41,0.016165,0.00039192,0.019797,0.996385
4421,0.7,75000,41,0.018984,0.0005478,0.023405,0.994206
4421,0.7,125000,41,0.025153,0.00090181,0.03003,0.990427
4421,0.7,250000,41,0.021128,0.00070771,0.026603,0.99277
4421,0.7,500000,41,0.018394,0.00056796,0.023832,0.99456
4421,0.7,1000000,41,0.021797,0.00064264,0.02535,0.993902
4421,0.7,2000000,41,0.02054,0.00055344,0.023525,0.994747
4421,0.7,4000000,41,0.020935,0.00058477,0.024182,0.99446
4421,0.7,8000000,41,0.017887,0.00046745,0.021621,0.995582
4421,0.75,75000,41,0.017706,0.00040762,0.02019,0.996834
4421,0.75,125000,41,0.019661,0.000553,0.023516,0.995721
4421,0.75,250000,41,0.018319,0.0005624,0.023715,0.99574
4421,0.75,500000,41,0.019539,0.00059157,0.024322,0.995672
4421,0.75,1000000,41,0.017393,0.00051664,0.02273,0.996197
4421,0.75,2000000,41,0.015562,0.00040252,0.020063,0.997019
4421,0.75,4000000,41,0.015572,0.00039971,0.019993,0.997036
4421,0.75,8000000,41,0.015657,0.00039876,0.019969,0.997047
4421,0.8,75000,41,0.010549,0.00021642,0.014711,0.998881
4421,0.8,125000,41,0.012853,0.00032889,0.018135,0.998344
4421,0.8,250000,41,0.012141,0.00032165,0.017935,0.998414
4421,0.8,500000,41,0.010829,0.00021129,0.014536,0.998946
4421,0.8,1000000,41,0.010453,0.00018862,0.013734,0.999034
4421,0.8,2000000,41,0.010225,0.00015953,0.01263,0.999175
4421,0.8,4000000,41,0.010165,0.00015784,0.012564,0.999181
4421,0.8,8000000,41,0.010812,0.0001812,0.013461,0.999061
4421,0.85,75000,41,0.007601,9.41e-05,0.009701,0.9997
4421,0.85,125000,41,0.009664,0.00018292,0.013525,0.999436
4421,0.85,250000,41,0.010666,0.00018798,0.013711,0.999436
4421,0.85,500000,41,0.010747,0.00019377,0.01392,0.999413
4421,0.85,1000000,41,0.006816,0.00011299,0.010629,0.999648
4421,0.85,2000000,41,0.007058,0.00011329,0.010644,0.999643
4421,0.85,4000000,41,0.007459,0.00011486,0.010717,0.999636
4421,0.85,8000000,41,0.011331,0.00019727,0.014045,0.999376
4421,0.9,75000,41,0.012399,0.00030896,0.017577,0.999564
4421,0.9,125000,41,0.016957,0.00051929,0.022788,0.999287
4421,0.9,250000,41,0.017339,0.00047114,0.021706,0.999368
4421,0.9,500000,41,0.01801,0.00048298,0.021977,0.999353
4421,0.9,1000000,41,0.015562,0.00038742,0.019683,0.999469
4421,0.9,2000000,41,0.01557,0.00040773,0.020192,0.999436
4421,0.9,4000000,41,0.014675,0.00035537,0.018851,0.999505
4421,0.9,8000000,41,0.017953,0.00053516,0.023134,0.999255
