Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
4415,0.25,75000,41,0.017842,0.029722,0.997972,0.003914,0.005802,0.994868,0.002125,0.003622,0.988109
4415,0.25,125000,41,0.022276,0.025907,0.998557,0.003574,0.005829,0.994728,0.001754,0.004264,0.98448
4415,0.25,250000,41,0.016449,0.022371,0.99888,0.002146,0.004674,0.996628,0.002212,0.004707,0.980462
4415,0.25,500000,41,0.012546,0.015533,0.99941,0.001636,0.003308,0.99834,0.001884,0.003657,0.987858
4415,0.25,1000000,41,0.019139,0.024365,0.99848,0.00197,0.004419,0.997101,0.002044,0.004945,0.97735
4415,0.25,2000000,41,0.018897,0.021919,0.998737,0.001934,0.003404,0.998291,0.001717,0.00372,0.986805
4415,0.25,4000000,41,0.02099,0.025235,0.998329,0.002447,0.00405,0.997587,0.001806,0.00416,0.983416
4415,0.25,8000000,41,0.019225,0.024032,0.998492,0.002853,0.004543,0.996969,0.001923,0.004061,0.984199
4415,0.35,75000,41,0.016064,0.022638,0.998756,0.0028,0.003516,0.998255,0.002264,0.002607,0.993691
4415,0.35,125000,41,0.021794,0.024017,0.998712,0.003469,0.005897,0.994869,0.002347,0.004319,0.983411
4415,0.35,250000,41,0.015862,0.023297,0.998748,0.002584,0.006437,0.993886,0.002802,0.006447,0.963275
4415,0.35,500000,41,0.01357,0.018053,0.999173,0.001872,0.003718,0.997987,0.002327,0.003933,0.985435
4415,0.35,1000000,41,0.017819,0.021981,0.998705,0.001958,0.003572,0.998179,0.002301,0.00394,0.985055
4415,0.35,2000000,41,0.018436,0.022552,0.998602,0.002001,0.004104,0.997623,0.002537,0.00432,0.981806
4415,0.35,4000000,41,0.018894,0.022828,0.998568,0.00212,0.004195,0.997522,0.002507,0.004548,0.9797
4415,0.35,8000000,41,0.018999,0.022805,0.998578,0.002684,0.004945,0.99656,0.002578,0.004781,0.977552
4415,0.45,75000,41,0.017428,0.021654,0.99876,0.002769,0.003377,0.998565,0.002228,0.00272,0.993247
4415,0.45,125000,41,0.023061,0.027382,0.998196,0.003049,0.003903,0.997989,0.001783,0.002597,0.993995
4415,0.45,250000,41,0.017581,0.021387,0.998887,0.002507,0.003663,0.998163,0.001887,0.002664,0.993453
4415,0.45,500000,41,0.013422,0.018294,0.999103,0.001277,0.001813,0.999555,0.001879,0.00243,0.994332
4415,0.45,1000000,41,0.013824,0.016984,0.999173,0.001003,0.001411,0.999735,0.00144,0.001868,0.996572
4415,0.45,2000000,41,0.01311,0.015923,0.99925,0.000896,0.001341,0.999763,0.00152,0.001949,0.996232
4415,0.45,4000000,41,0.013635,0.015847,0.999256,0.001034,0.001464,0.999719,0.001482,0.001822,0.996685
4415,0.45,8000000,41,0.013211,0.015274,0.999313,0.001304,0.001782,0.999584,0.001421,0.001923,0.996299
4415,0.55,75000,41,0.014693,0.018862,0.998913,0.003092,0.003606,0.998552,0.001923,0.00275,0.993243
4415,0.55,125000,41,0.022419,0.027204,0.997949,0.001957,0.002412,0.999347,0.001691,0.00222,0.995788
4415,0.55,250000,41,0.020241,0.025654,0.998196,0.002212,0.002852,0.999063,0.001875,0.002274,0.995484
4415,0.55,500000,41,0.013693,0.018635,0.998963,0.001437,0.002131,0.999462,0.001686,0.002149,0.995664
4415,0.55,1000000,41,0.014886,0.017813,0.99899,0.001101,0.001497,0.999734,0.001153,0.001578,0.99759
4415,0.55,2000000,41,0.012656,0.014718,0.999288,0.00109,0.001487,0.999739,0.0013,0.001647,0.997339
4415,0.55,4000000,41,0.012431,0.014405,0.999316,0.001197,0.001668,0.999672,0.001267,0.001604,0.997448
4415,0.55,8000000,41,0.012513,0.014877,0.999274,0.001321,0.001804,0.999617,0.001185,0.001593,0.997481
4415,0.65,75000,41,0.013642,0.017114,0.9988,0.004475,0.004957,0.997484,0.001523,0.001993,0.996607
4415,0.65,125000,41,0.011098,0.013114,0.99932,0.003459,0.003962,0.998408,0.001357,0.001734,0.997545
4415,0.65,250000,41,0.00983,0.011778,0.999463,0.003412,0.003898,0.998461,0.001368,0.00177,0.99746
4415,0.65,500000,41,0.013412,0.01683,0.99888,0.003319,0.003925,0.99842,0.001223,0.001531,0.998009
4415,0.65,1000000,41,0.012037,0.015526,0.999023,0.002857,0.003472,0.998753,0.001216,0.001575,0.997819
4415,0.65,2000000,41,0.011563,0.014545,0.999132,0.002817,0.003382,0.998815,0.001114,0.001501,0.997982
4415,0.65,4000000,41,0.011903,0.015225,0.99905,0.002834,0.00345,0.998766,0.00109,0.001409,0.998202
4415,0.65,8000000,41,0.012298,0.01582,0.998977,0.00237,0.002774,0.999203,0.00121,0.001448,0.998097
4415,0.7,75000,41,0.010322,0.013649,0.999141,0.003864,0.0043,0.998186,0.001967,0.002394,0.995328
4415,0.7,125000,41,0.009507,0.011796,0.999369,0.002642,0.003272,0.998962,0.001713,0.002159,0.996327
4415,0.7,250000,41,0.009138,0.011899,0.99937,0.002584,0.00313,0.999053,0.001718,0.002274,0.995975
4415,0.7,500000,41,0.009858,0.012488,0.999306,0.002794,0.003212,0.998993,0.001678,0.002081,0.996531
4415,0.7,1000000,41,0.008548,0.010889,0.999466,0.002585,0.002985,0.999122,0.001808,0.002192,0.996051
4415,0.7,2000000,41,0.009184,0.011437,0.999408,0.002594,0.003018,0.9991,0.001732,0.002113,0.996279
4415,0.7,4000000,41,0.00998,0.01248,0.999296,0.002673,0.003078,0.999063,0.001874,0.002248,0.995751
4415,0.7,8000000,41,0.011614,0.014442,0.999061,0.002299,0.002744,0.999255,0.002126,0.002511,0.994682
4415,0.75,75000,41,0.014151,0.021813,0.997784,0.00342,0.004364,0.998198,0.00331,0.004522,0.985459
4415,0.75,125000,41,0.017139,0.021656,0.997778,0.002848,0.003717,0.998705,0.005433,0.007974,0.954432
4415,0.75,250000,41,0.021083,0.026107,0.996831,0.003243,0.00538,0.997277,0.006055,0.008712,0.944644
4415,0.75,500000,41,0.016006,0.019544,0.998273,0.002824,0.004002,0.998487,0.004715,0.006312,0.970452
4415,0.75,1000000,41,0.014411,0.017875,0.998561,0.002745,0.004356,0.998179,0.004862,0.006211,0.971953
4415,0.75,2000000,41,0.011872,0.014415,0.999063,0.0027,0.003636,0.998735,0.004145,0.00517,0.980516
4415,0.75,4000000,41,0.011389,0.014035,0.999114,0.003297,0.004716,0.997858,0.004207,0.00555,0.977592
4415,0.75,8000000,41,0.009823,0.01246,0.999303,0.002899,0.004468,0.998076,0.004033,0.005327,0.979279
4415,0.8,75000,41,0.018298,0.024702,0.997988,0.003181,0.003722,0.998781,0.005119,0.008655,0.976066
4415,0.8,125000,41,0.016445,0.024356,0.998057,0.002623,0.003008,0.999208,0.004704,0.008803,0.974817
4415,0.8,250000,41,0.016279,0.022577,0.99836,0.002855,0.003357,0.999016,0.00482,0.007901,0.979755
4415,0.8,500000,41,0.014678,0.019601,0.998779,0.00253,0.003007,0.999209,0.004534,0.006714,0.985861
4415,0.8,1000000,41,0.014203,0.018295,0.998926,0.002674,0.00309,0.999159,0.004098,0.006128,0.988447
4415,0.8,2000000,41,0.014408,0.017901,0.998966,0.003081,0.003545,0.998891,0.003994,0.005202,0.991662
4415,0.8,4000000,41,0.013157,0.016717,0.999097,0.003618,0.004123,0.998497,0.003394,0.004286,0.994306
4415,0.8,8000000,41,0.013818,0.016958,0.999072,0.004195,0.005002,0.997788,0.002955,0.004361,0.994087
4415,0.85,75000,41,0.017748,0.024206,0.998909,0.003247,0.003801,0.999094,0.003707,0.006476,0.996614
4415,0.85,125000,41,0.016671,0.023219,0.999026,0.002731,0.003455,0.99926,0.004058,0.005689,0.997518
4415,0.85,250000,41,0.015952,0.02241,0.999115,0.00311,0.004027,0.999009,0.004359,0.005896,0.99743
4415,0.85,500000,41,0.014896,0.021755,0.999157,0.002757,0.003562,0.999229,0.00363,0.0061,0.997172
4415,0.85,1000000,41,0.017113,0.024135,0.998932,0.003041,0.004031,0.99901,0.004055,0.006696,0.996467
4415,0.85,2000000,41,0.018998,0.025549,0.998787,0.00333,0.004338,0.998842,0.004443,0.007189,0.995814
4415,0.85,4000000,41,0.018445,0.025342,0.998802,0.003653,0.004715,0.99863,0.00423,0.007182,0.995777
4415,0.85,8000000,41,0.017567,0.023032,0.999012,0.005015,0.005942,0.997824,0.003691,0.006414,0.99663
4415,0.9,75000,41,0.014246,0.019574,0.999619,0.002604,0.00358,0.999497,0.00463,0.007756,0.998623
4415,0.9,125000,41,0.014779,0.02064,0.999585,0.002259,0.003015,0.999649,0.00349,0.008038,0.998584
4415,0.9,250000,41,0.017328,0.020761,0.999587,0.002189,0.002664,0.999731,0.002994,0.006258,0.999168
4415,0.9,500000,41,0.01571,0.018881,0.999659,0.002022,0.002502,0.999766,0.003074,0.006041,0.999219
4415,0.9,1000000,41,0.018909,0.032311,0.998979,0.002874,0.007518,0.997855,0.004512,0.009159,0.998116
