Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
4415,0.45,75000,41,0.026817,0.035493,0.006171,0.008099,0.00355,0.004952
4415,0.45,125000,41,0.036099,0.046556,0.008239,0.011048,0.002862,0.003992
4415,0.45,250000,41,0.019634,0.024765,0.00585,0.008829,0.002599,0.003755
4415,0.45,500000,41,0.018037,0.023995,0.004453,0.006266,0.002362,0.003287
4415,0.45,1000000,41,0.017411,0.024114,0.004462,0.006597,0.002329,0.003566
4415,0.45,2000000,41,0.020118,0.025752,0.005067,0.006838,0.002399,0.003437
4415,0.45,4000000,41,0.016854,0.021829,0.005135,0.006983,0.002469,0.003438
4415,0.45,8000000,41,0.017136,0.022584,0.004667,0.006542,0.002623,0.003602
4415,0.55,75000,41,0.019775,0.024679,0.005093,0.006834,0.004084,0.0051
4415,0.55,125000,41,0.020686,0.026999,0.004188,0.005674,0.002018,0.002747
4415,0.55,250000,41,0.017548,0.022109,0.004911,0.005871,0.002143,0.002923
4415,0.55,500000,41,0.025601,0.031629,0.004952,0.006073,0.002794,0.00383
4415,0.55,1000000,41,0.022503,0.029499,0.005364,0.006888,0.003069,0.004074
4415,0.55,2000000,41,0.025013,0.032397,0.0062,0.007857,0.003621,0.004667
4415,0.55,4000000,41,0.022769,0.029132,0.005833,0.007518,0.003362,0.004446
4415,0.55,8000000,41,0.020348,0.027792,0.004729,0.00622,0.003088,0.00388
4415,0.65,75000,41,0.026133,0.029937,0.006734,0.007875,0.003716,0.004927
4415,0.65,125000,41,0.02596,0.029085,0.007397,0.008589,0.004245,0.005343
4415,0.65,250000,41,0.027446,0.031504,0.008697,0.00983,0.004056,0.005352
4415,0.65,500000,41,0.028504,0.034825,0.007495,0.0085,0.003648,0.004573
4415,0.65,1000000,41,0.027879,0.033777,0.007241,0.008557,0.003538,0.004538
4415,0.65,2000000,41,0.030072,0.036021,0.007466,0.00865,0.003696,0.004637
4415,0.65,4000000,41,0.029485,0.033642,0.00681,0.008036,0.003826,0.004687
4415,0.65,8000000,41,0.026827,0.031951,0.005153,0.006659,0.003414,0.004232
4415,0.7,75000,41,0.02908,0.033394,0.006848,0.007941,0.004103,0.004795
4415,0.7,125000,41,0.030255,0.034216,0.007234,0.00836,0.005285,0.006095
4415,0.7,250000,41,0.030753,0.035569,0.008913,0.009739,0.005125,0.005993
4415,0.7,500000,41,0.031545,0.039479,0.008243,0.008958,0.004376,0.005167
4415,0.7,1000000,41,0.031122,0.038909,0.007874,0.008788,0.004974,0.005667
4415,0.7,2000000,41,0.033132,0.040714,0.00817,0.008967,0.004865,0.005531
4415,0.7,4000000,41,0.031092,0.038784,0.007593,0.008593,0.004953,0.005686
4415,0.7,8000000,41,0.025387,0.033989,0.005486,0.006797,0.003934,0.004789
4415,0.75,75000,41,0.032128,0.038021,0.007288,0.007875,0.006502,0.00833
4415,0.75,125000,41,0.035199,0.04199,0.006568,0.007407,0.009149,0.011511
4415,0.75,250000,41,0.034944,0.041586,0.007365,0.008191,0.008448,0.010853
4415,0.75,500000,41,0.034763,0.040138,0.006738,0.007306,0.006443,0.00823
4415,0.75,1000000,41,0.033859,0.039035,0.006692,0.007436,0.007297,0.008549
4415,0.75,2000000,41,0.034823,0.039979,0.00669,0.007121,0.00744,0.008813
4415,0.75,4000000,41,0.03436,0.039119,0.006328,0.006976,0.007092,0.008492
4415,0.75,8000000,41,0.031135,0.035363,0.004267,0.00526,0.005842,0.007534
4415,0.8,75000,41,0.01806,0.02274,0.007413,0.007988,0.005003,0.005698
4415,0.8,125000,41,0.023493,0.027105,0.006565,0.007171,0.006367,0.006852
4415,0.8,250000,41,0.024016,0.028662,0.006085,0.006822,0.005868,0.006251
4415,0.8,500000,41,0.024449,0.029152,0.005294,0.005954,0.004426,0.005071
4415,0.8,1000000,41,0.022426,0.026677,0.005468,0.006149,0.004386,0.005023
4415,0.8,2000000,41,0.021726,0.025896,0.005775,0.006479,0.004494,0.005088
4415,0.8,4000000,41,0.021315,0.024626,0.005397,0.006003,0.00462,0.005233
4415,0.8,8000000,41,0.020137,0.023344,0.004507,0.005165,0.004701,0.005163
4415,0.85,75000,41,0.023555,0.034009,0.006179,0.006759,0.007026,0.013022
4415,0.85,125000,41,0.030473,0.038776,0.006965,0.007842,0.008777,0.013458
4415,0.85,250000,41,0.028466,0.037765,0.007881,0.00871,0.008335,0.013547
4415,0.85,500000,41,0.022099,0.033021,0.006806,0.007313,0.006818,0.01287
4415,0.85,1000000,41,0.019108,0.028607,0.005978,0.006598,0.006409,0.012079
4415,0.85,2000000,41,0.017893,0.025943,0.006042,0.006635,0.006169,0.011601
4415,0.85,4000000,41,0.016693,0.024859,0.005304,0.005864,0.005496,0.011046
4415,0.85,8000000,41,0.019247,0.028792,0.004354,0.00501,0.005149,0.010033
4415,0.9,75000,41,0.018415,0.023259,0.007495,0.008644,0.005872,0.008834
4415,0.9,125000,41,0.021309,0.02605,0.007321,0.00853,0.008073,0.011101
4415,0.9,250000,41,0.016659,0.021095,0.007542,0.00876,0.00643,0.008729
4415,0.9,500000,41,0.01416,0.01916,0.00786,0.008672,0.006532,0.008829
4415,0.9,1000000,41,0.016335,0.028711,0.009492,0.010872,0.006847,0.010629
4415,0.9,2000000,41,0.014978,0.020162,0.008605,0.009484,0.005892,0.008624
4415,0.9,4000000,41,0.014574,0.019137,0.008176,0.009148,0.005578,0.007814
4415,0.9,8000000,41,0.012017,0.014158,0.008964,0.01015,0.005342,0.006735
4421,0.25,75000,41,0.031148,0.054988,0.005619,0.009091,0.003674,0.005573
4421,0.25,125000,41,0.035795,0.046345,0.005115,0.005942,0.003537,0.004293
4421,0.25,250000,41,0.023371,0.028728,0.003212,0.004044,0.002694,0.003137
4421,0.25,500000,41,0.032767,0.0392,0.00402,0.004846,0.003033,0.003649
4421,0.25,1000000,41,0.03982,0.047089,0.003995,0.004983,0.003627,0.004284
4421,0.25,2000000,41,0.036109,0.042182,0.004017,0.005003,0.003741,0.004356
4421,0.25,4000000,41,0.035717,0.041185,0.003977,0.004957,0.003714,0.004299
4421,0.25,8000000,41,0.03449,0.039665,0.004304,0.005223,0.003504,0.004169
4421,0.35,75000,41,0.029941,0.04512,0.00432,0.006368,0.004429,0.005703
4421,0.35,125000,41,0.039772,0.055185,0.005324,0.006496,0.004375,0.005229
4421,0.35,250000,41,0.034383,0.044967,0.003859,0.005146,0.003801,0.004486
4421,0.35,500000,41,0.032471,0.036787,0.003419,0.00419,0.003628,0.004043
4421,0.35,1000000,41,0.036983,0.04446,0.003753,0.004914,0.003951,0.00449
4421,0.35,2000000,41,0.033063,0.038563,0.003753,0.004908,0.004017,0.004463
4421,0.35,4000000,41,0.03344,0.038567,0.004432,0.005327,0.003882,0.004325
4421,0.35,8000000,41,0.033165,0.037605,0.005307,0.006074,0.003727,0.004317
4421,0.45,75000,41,0.032478,0.039131,0.003897,0.00496,0.004988,0.005997
4421,0.45,125000,41,0.047489,0.060212,0.005268,0.006256,0.004651,0.005333
4421,0.45,250000,41,0.041836,0.055439,0.004479,0.005302,0.004515,0.004982
4421,0.45,500000,41,0.031447,0.037026,0.003815,0.004494,0.004652,0.004977
4421,0.45,1000000,41,0.034635,0.041197,0.004253,0.005214,0.004025,0.004349
4421,0.45,2000000,41,0.029689,0.034391,0.004182,0.005085,0.004178,0.004418
4421,0.45,4000000,41,0.030187,0.034848,0.004736,0.005524,0.004057,0.004288
4421,0.45,8000000,41,0.030199,0.035163,0.005625,0.006494,0.004161,0.004517
4421,0.55,75000,41,0.02796,0.030839,0.004322,0.005928,0.00487,0.005603
4421,0.55,125000,41,0.038135,0.044133,0.003843,0.004336,0.003836,0.004454
4421,0.55,250000,41,0.037416,0.042325,0.004169,0.004768,0.003939,0.004459
4421,0.55,500000,41,0.030453,0.035688,0.00418,0.004784,0.003733,0.004234
4421,0.55,1000000,41,0.030841,0.036724,0.004844,0.005623,0.003267,0.003567
4421,0.55,2000000,41,0.023002,0.030218,0.004668,0.00545,0.003281,0.003661
4421,0.55,4000000,41,0.024407,0.031315,0.004553,0.005301,0.003112,0.003495
4421,0.55,8000000,41,0.023953,0.030322,0.004577,0.005465,0.003192,0.003645
4421,0.65,75000,41,0.017465,0.021149,0.003349,0.004903,0.003245,0.004272
4421,0.65,125000,41,0.017671,0.021902,0.003441,0.004886,0.002905,0.003628
4421,0.65,250000,41,0.029276,0.036993,0.006584,0.01245,0.004641,0.007564
4421,0.65,500000,41,0.021413,0.026369,0.004147,0.006087,0.003464,0.004513
4421,0.65,1000000,41,0.015219,0.018967,0.003417,0.004345,0.002508,0.003196
4421,0.65,2000000,41,0.015204,0.017933,0.003529,0.004461,0.00285,0.00355
4421,0.65,4000000,41,0.01731,0.020456,0.003482,0.004262,0.003126,0.003791
4421,0.65,8000000,41,0.018587,0.021902,0.00353,0.004376,0.003338,0.004035
4421,0.7,75000,41,0.01641,0.020754,0.005404,0.006431,0.00339,0.004961
4421,0.7,125000,41,0.016947,0.022288,0.005689,0.006611,0.003371,0.004286
4421,0.7,250000,41,0.020788,0.025463,0.005184,0.006234,0.003364,0.004096
4421,0.7,500000,41,0.015128,0.021606,0.004508,0.005263,0.002882,0.003977
4421,0.7,1000000,41,0.01595,0.022324,0.004089,0.004977,0.00314,0.003837
4421,0.7,2000000,41,0.016295,0.021879,0.004185,0.004964,0.003117,0.003898
4421,0.7,4000000,41,0.016601,0.021685,0.004541,0.005294,0.003302,0.004057
4421,0.7,8000000,41,0.014277,0.017599,0.00488,0.00572,0.003348,0.003931
4421,0.75,75000,41,0.02421,0.030353,0.00532,0.006397,0.00706,0.008159
4421,0.75,125000,41,0.020159,0.024541,0.005081,0.006226,0.005948,0.006511
4421,0.75,250000,41,0.018681,0.022918,0.004881,0.00599,0.005827,0.006607
4421,0.75,500000,41,0.021497,0.028747,0.00478,0.00608,0.00611,0.007194
4421,0.75,1000000,41,0.020492,0.027809,0.004835,0.005894,0.005496,0.006553
4421,0.75,2000000,41,0.020809,0.027421,0.004859,0.00586,0.005448,0.006506
4421,0.75,4000000,41,0.021006,0.0272,0.005244,0.006357,0.005597,0.006644
4421,0.75,8000000,41,0.018347,0.025385,0.006635,0.007473,0.006109,0.006963
4421,0.8,75000,41,0.019405,0.027014,0.004874,0.006029,0.007099,0.009299
4421,0.8,125000,41,0.019388,0.025193,0.005251,0.00636,0.00736,0.010741
4421,0.8,250000,41,0.019236,0.024388,0.005344,0.006627,0.007365,0.010853
4421,0.8,500000,41,0.019487,0.023912,0.005318,0.006773,0.005781,0.008226
4421,0.8,1000000,41,0.020912,0.024297,0.00513,0.006696,0.005143,0.007196
4421,0.8,2000000,41,0.019127,0.023162,0.004696,0.006275,0.004819,0.006971
4421,0.8,4000000,41,0.020135,0.025058,0.00511,0.006834,0.004948,0.007531
4421,0.8,8000000,41,0.021372,0.025315,0.005181,0.007281,0.005734,0.007668
4421,0.85,75000,41,0.0242,0.031669,0.005131,0.006371,0.004703,0.005932
4421,0.85,125000,41,0.025174,0.034163,0.005757,0.006972,0.005108,0.007288
4421,0.85,250000,41,0.025949,0.035743,0.006447,0.00761,0.005448,0.008117
4421,0.85,500000,41,0.025649,0.032471,0.006488,0.008011,0.004792,0.006668
