Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3418,0.85,250000,41,0.009147,0.015521,0.002719,0.003578,0.002662,0.004248
3418,0.85,500000,41,0.008565,0.015095,0.002613,0.003541,0.002571,0.004072
3418,0.85,1000000,41,0.008594,0.015059,0.00262,0.003563,0.00247,0.003945
3418,0.85,2000000,41,0.010172,0.015468,0.003073,0.004091,0.002675,0.004104
3418,0.85,4000000,41,0.010361,0.014144,0.002275,0.003104,0.002137,0.003543
3418,0.85,8000000,41,0.009549,0.01196,0.003172,0.003916,0.002292,0.002728
3418,0.9,75000,41,0.01204,0.01489,0.005338,0.006587,0.00182,0.002138
3418,0.9,125000,41,0.015671,0.019944,0.005154,0.006423,0.001852,0.002478
3418,0.9,250000,41,0.017937,0.022772,0.006095,0.007321,0.001795,0.00217
3418,0.9,500000,41,0.019692,0.023913,0.005594,0.007443,0.00224,0.002814
3418,0.9,1000000,41,0.02079,0.031749,0.006686,0.010216,0.002852,0.00812
3418,0.9,2000000,41,0.015706,0.019974,0.00497,0.006497,0.001452,0.002034
3418,0.9,4000000,41,0.013923,0.016866,0.00396,0.005024,0.001381,0.00185
3418,0.9,8000000,41,0.023376,0.025915,0.005653,0.006893,0.002734,0.00528
4415,0.25,75000,41,0.024843,0.035683,0.004801,0.00717,0.003037,0.005608
4415,0.25,125000,41,0.017962,0.022588,0.00365,0.004933,0.002872,0.004417
4415,0.25,250000,41,0.02035,0.02669,0.003472,0.00531,0.002542,0.004074
4415,0.25,500000,41,0.01864,0.024904,0.003371,0.004792,0.002431,0.003695
4415,0.25,1000000,41,0.016856,0.021211,0.002919,0.004087,0.001957,0.003134
4415,0.25,2000000,41,0.015237,0.018136,0.001984,0.002808,0.001339,0.00181
4415,0.25,4000000,41,0.015318,0.020758,0.0017,0.002666,0.001423,0.002007
4415,0.25,8000000,41,0.018344,0.024938,0.002502,0.003421,0.001643,0.002245
4415,0.35,75000,41,0.015295,0.020939,0.002942,0.004293,0.002702,0.00342
4415,0.35,125000,41,0.011557,0.014526,0.003067,0.004741,0.002453,0.003186
4415,0.35,250000,41,0.016453,0.025445,0.00329,0.005118,0.002711,0.005428
4415,0.35,500000,41,0.012169,0.016402,0.002349,0.003093,0.002639,0.003483
4415,0.35,1000000,41,0.012646,0.016238,0.002264,0.002959,0.002348,0.003156
4415,0.35,2000000,41,0.012094,0.015557,0.002082,0.002791,0.001917,0.002905
4415,0.35,4000000,41,0.012765,0.017523,0.002012,0.002618,0.001931,0.003123
