Airfoil,Mach,Re,N_points,Cd_MAE,Cd_MSE,Cd_RMSE,Cd_R2
4415,0.55,250000,41,0.00398,2.508e-05,0.005008,0.997109
4415,0.55,500000,41,0.004642,3.099e-05,0.005567,0.996327
4415,0.55,1000000,41,0.003691,1.964e-05,0.004432,0.997672
4415,0.55,2000000,41,0.003555,1.918e-05,0.00438,0.997738
4415,0.55,4000000,41,0.00373,2.152e-05,0.004639,0.997466
4415,0.55,8000000,41,0.002777,1.125e-05,0.003354,0.998677
4415,0.65,75000,41,0.005512,3.664e-05,0.006053,0.996248
4415,0.65,125000,41,0.004767,2.803e-05,0.005294,0.997157
4415,0.65,250000,41,0.004336,2.327e-05,0.004824,0.997642
4415,0.65,500000,41,0.004117,2.234e-05,0.004727,0.997707
4415,0.65,1000000,41,0.003934,1.895e-05,0.004354,0.998039
4415,0.65,2000000,41,0.003562,1.67e-05,0.004087,0.998269
4415,0.65,4000000,41,0.002792,1.371e-05,0.003703,0.998578
4415,0.65,8000000,41,0.002478,8.66e-06,0.002943,0.999103
4415,0.7,75000,41,0.00437,2.515e-05,0.005015,0.997532
4415,0.7,125000,41,0.003939,1.908e-05,0.004369,0.99815
4415,0.7,250000,41,0.003526,1.556e-05,0.003944,0.998496
4415,0.7,500000,41,0.00351,1.788e-05,0.004228,0.998256
4415,0.7,1000000,41,0.003676,1.863e-05,0.004316,0.998165
4415,0.7,2000000,41,0.003595,1.878e-05,0.004334,0.998145
4415,0.7,4000000,41,0.002768,1.348e-05,0.003671,0.998667
4415,0.7,8000000,41,0.002718,1.059e-05,0.003255,0.998952
4415,0.75,75000,41,0.003603,1.813e-05,0.004258,0.998284
4415,0.75,125000,41,0.002938,1.216e-05,0.003487,0.99886
4415,0.75,250000,41,0.003208,1.896e-05,0.004354,0.998217
4415,0.75,500000,41,0.003563,1.692e-05,0.004113,0.998402
4415,0.75,1000000,41,0.003989,2.243e-05,0.004736,0.997847
4415,0.75,2000000,41,0.003332,1.47e-05,0.003834,0.998594
4415,0.75,4000000,41,0.002742,1.226e-05,0.003501,0.998819
4415,0.75,8000000,41,0.002354,8.39e-06,0.002897,0.999191
4415,0.8,75000,41,0.004323,2.542e-05,0.005042,0.997764
4415,0.8,125000,41,0.003896,2.088e-05,0.004569,0.998172
4415,0.8,250000,41,0.004005,2.171e-05,0.004659,0.998104
4415,0.8,500000,41,0.004097,2.59e-05,0.005089,0.997733
4415,0.8,1000000,41,0.004262,2.614e-05,0.005112,0.997699
4415,0.8,2000000,41,0.003914,2.152e-05,0.004639,0.9981
4415,0.8,4000000,41,0.003578,1.929e-05,0.004392,0.998294
4415,0.8,8000000,41,0.002414,7.64e-06,0.002765,0.999324
4415,0.85,75000,41,0.003611,1.695e-05,0.004116,0.998937
4415,0.85,125000,41,0.004401,2.514e-05,0.005014,0.998442
4415,0.85,250000,41,0.005151,3.614e-05,0.006011,0.997791
