This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.75,-12,0.204309,11.2252433925184
6,0,6,75000,0.75,-11,0.180748,11.2252433925184
6,0,6,75000,0.75,-10,0.15792,11.2252433925184
6,0,6,75000,0.75,-9,0.13579,11.2252433925184
6,0,6,75000,0.75,-8,0.113934,11.2252433925184
6,0,6,75000,0.75,-7,0.093896,11.2252433925184
6,0,6,75000,0.75,-6,0.07533,11.2252433925184
6,0,6,75000,0.75,-5,0.058695,11.2252433925184
6,0,6,75000,0.75,-4,0.041639,11.2252433925184
6,0,6,75000,0.75,-3,0.025676,11.2252433925184
6,0,6,75000,0.75,-2,0.017954,11.2252433925184
6,0,6,75000,0.75,-1,0.016354,11.2252433925184
6,0,6,75000,0.75,0,0.015971,11.2252433925184
6,0,6,75000,0.75,1,0.016356,11.2252433925184
6,0,6,75000,0.75,2,0.017963,11.2252433925184
6,0,6,75000,0.75,3,0.025715,11.2252433925184
6,0,6,75000,0.75,4,0.041707,11.2252433925184
6,0,6,75000,0.75,5,0.058734,11.2252433925184
6,0,6,75000,0.75,6,0.075302,11.2252433925184
6,0,6,75000,0.75,7,0.093691,11.2252433925184
6,0,6,75000,0.75,8,0.114366,11.2252433925184
6,0,6,75000,0.75,9,0.135392,11.2252433925184
6,0,6,75000,0.75,10,0.157464,11.2252433925184
6,0,6,75000,0.75,11,0.180241,11.2252433925184
6,0,6,75000,0.75,12,0.203771,11.2252433925184
6,0,6,75000,0.75,13,0.228046,11.2252433925184
6,0,6,75000,0.75,14,0.253042,11.2252433925184
6,0,6,75000,0.75,15,0.278719,11.2252433925184
6,0,6,75000,0.75,16,0.305075,11.2252433925184
6,0,6,75000,0.75,17,0.332065,11.2252433925184
6,0,6,75000,0.75,18,0.359627,11.2252433925184
6,0,6,75000,0.75,19,0.387731,11.2252433925184
6,0,6,75000,0.75,20,0.41634,11.2252433925184
6,0,6,75000,0.8,-20,0.452827,11.2252433925184
6,0,6,75000,0.8,-19,0.421941,11.2252433925184
6,0,6,75000,0.8,-18,0.391389,11.2252433925184
