This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.7,0,-0.000112,11.2252433925184
6,0,6,75000,0.7,1,0.000667,11.2252433925184
6,0,6,75000,0.7,2,0.002673,11.2252433925184
6,0,6,75000,0.7,3,0.008183,11.2252433925184
6,0,6,75000,0.7,4,0.01267,11.2252433925184
6,0,6,75000,0.7,5,0.00254,11.2252433925184
6,0,6,75000,0.7,6,-0.017012,11.2252433925184
6,0,6,75000,0.7,7,-0.041516,11.2252433925184
6,0,6,75000,0.7,8,-0.057985,11.2252433925184
6,0,6,75000,0.7,9,-0.070166,11.2252433925184
6,0,6,75000,0.7,10,-0.080745,11.2252433925184
6,0,6,75000,0.7,11,-0.089744,11.2252433925184
6,0,6,75000,0.7,12,-0.097921,11.2252433925184
6,0,6,75000,0.7,13,-0.105546,11.2252433925184
6,0,6,75000,0.7,14,-0.112788,11.2252433925184
6,0,6,75000,0.7,15,-0.119769,11.2252433925184
6,0,6,75000,0.7,16,-0.126579,11.2252433925184
6,0,6,75000,0.7,17,-0.13327,11.2252433925184
6,0,6,75000,0.7,18,-0.139861,11.2252433925184
6,0,6,75000,0.7,19,-0.146382,11.2252433925184
6,0,6,75000,0.7,20,-0.152843,11.2252433925184
6,0,6,75000,0.75,-20,0.170811,11.2252433925184
6,0,6,75000,0.75,-19,0.163457,11.2252433925184
6,0,6,75000,0.75,-18,0.155899,11.2252433925184
6,0,6,75000,0.75,-17,0.148137,11.2252433925184
6,0,6,75000,0.75,-16,0.140144,11.2252433925184
6,0,6,75000,0.75,-15,0.131907,11.2252433925184
6,0,6,75000,0.75,-14,0.123393,11.2252433925184
6,0,6,75000,0.75,-13,0.114563,11.2252433925184
6,0,6,75000,0.75,-12,0.105354,11.2252433925184
6,0,6,75000,0.75,-11,0.095676,11.2252433925184
6,0,6,75000,0.75,-10,0.085353,11.2252433925184
6,0,6,75000,0.75,-9,0.074105,11.2252433925184
6,0,6,75000,0.75,-8,0.060797,11.2252433925184
6,0,6,75000,0.75,-7,0.04748,11.2252433925184
6,0,6,75000,0.75,-6,0.031832,11.2252433925184
6,0,6,75000,0.75,-5,0.016484,11.2252433925184
6,0,6,75000,0.75,-4,0.001117,11.2252433925184
6,0,6,75000,0.75,-3,-0.00972,11.2252433925184
6,0,6,75000,0.75,-2,-0.005261,11.2252433925184
6,0,6,75000,0.75,-1,-0.001162,11.2252433925184
6,0,6,75000,0.75,0,-0.000111,11.2252433925184
6,0,6,75000,0.75,1,0.000943,11.2252433925184
6,0,6,75000,0.75,2,0.005064,11.2252433925184
6,0,6,75000,0.75,3,0.009483,11.2252433925184
6,0,6,75000,0.75,4,-0.001404,11.2252433925184
6,0,6,75000,0.75,5,-0.016704,11.2252433925184
6,0,6,75000,0.75,6,-0.031942,11.2252433925184
6,0,6,75000,0.75,7,-0.047192,11.2252433925184
6,0,6,75000,0.75,8,-0.061691,11.2252433925184
6,0,6,75000,0.75,9,-0.073633,11.2252433925184
6,0,6,75000,0.75,10,-0.08486,11.2252433925184
6,0,6,75000,0.75,11,-0.095192,11.2252433925184
6,0,6,75000,0.75,12,-0.104886,11.2252433925184
6,0,6,75000,0.75,13,-0.114082,11.2252433925184
6,0,6,75000,0.75,14,-0.122873,11.2252433925184
6,0,6,75000,0.75,15,-0.131315,11.2252433925184
6,0,6,75000,0.75,16,-0.13948,11.2252433925184
6,0,6,75000,0.75,17,-0.147398,11.2252433925184
6,0,6,75000,0.75,18,-0.155083,11.2252433925184
6,0,6,75000,0.75,19,-0.162565,11.2252433925184
