Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
3418,0.8,1000000,41,0.022521,0.000688,0.026224,0.003511,1.6e-05,0.004012,0.003104,1.5e-05,0.003923
3418,0.8,2000000,41,0.022051,0.000646,0.02542,0.003057,1.3e-05,0.003582,0.003277,1.8e-05,0.004292
3418,0.8,4000000,41,0.020791,0.000621,0.024913,0.0032,1.4e-05,0.003687,0.003274,1.8e-05,0.004211
3418,0.8,8000000,41,0.022449,0.000728,0.026981,0.002297,9e-06,0.002932,0.003481,2e-05,0.004448
3418,0.85,75000,41,0.014474,0.000333,0.018252,0.003869,2.4e-05,0.00487,0.004995,3.9e-05,0.006269
3418,0.85,125000,41,0.015538,0.000394,0.019849,0.004241,2.5e-05,0.005028,0.005522,4.9e-05,0.006996
3418,0.85,250000,41,0.015195,0.000417,0.020413,0.005266,3.5e-05,0.005936,0.004988,4.3e-05,0.006561
3418,0.85,500000,41,0.014207,0.000355,0.018833,0.005866,4.3e-05,0.006521,0.004822,4.4e-05,0.006611
3418,0.85,1000000,41,0.011334,0.000218,0.014776,0.005326,3.8e-05,0.006187,0.004894,4.8e-05,0.006924
3418,0.85,2000000,41,0.011292,0.000208,0.014419,0.003861,2e-05,0.004487,0.005838,5.8e-05,0.00761
3418,0.85,4000000,41,0.012046,0.000238,0.01544,0.004421,2.7e-05,0.005229,0.005458,5.9e-05,0.00767
3418,0.85,8000000,41,0.013056,0.00027,0.01644,0.005496,4.2e-05,0.006453,0.004716,4.2e-05,0.006466
3418,0.9,75000,41,0.011561,0.000223,0.01492,0.007529,8.4e-05,0.009152,0.004476,2.8e-05,0.005333
3418,0.9,125000,41,0.011014,0.000217,0.014721,0.007329,7.7e-05,0.00876,0.0057,4.8e-05,0.006928
3418,0.9,250000,41,0.011141,0.000206,0.014367,0.007119,6.8e-05,0.008264,0.004605,3.4e-05,0.005861
3418,0.9,500000,41,0.010349,0.00018,0.013424,0.007107,7.2e-05,0.008485,0.005356,4.2e-05,0.006454
3418,0.9,1000000,41,0.014474,0.000643,0.02535,0.00741,0.000131,0.011425,0.006316,8.3e-05,0.009118
3418,0.9,2000000,41,0.011121,0.00019,0.013796,0.006436,7.1e-05,0.008424,0.0047,2.9e-05,0.005339
3418,0.9,4000000,41,0.012799,0.000269,0.016408,0.006384,7.3e-05,0.008527,0.004703,2.9e-05,0.005383
3418,0.9,8000000,41,0.01683,0.000515,0.02269,0.006325,9.2e-05,0.009616,0.005676,6e-05,0.007758
4415,0.25,75000,41,0.024694,0.001,0.03162,0.006746,0.000126,0.011236,0.00428,5.7e-05,0.007573
4415,0.25,125000,41,0.020334,0.000772,0.027781,0.006355,0.00013,0.011419,0.004137,3.4e-05,0.005866
